_____________________
|##|A|B|C|D|F1|F3|F5|
|--|-|-|-|-|--|--|--|
| 0|0|0|0|0| 0| 0| 1|
| 1|0|0|0|1| 0| 0| 1|
| 2|0|0|1|0| 0| 0| 1|
| 3|0|0|1|1| 1| 0| 1|
|--|-|-|-|-|--|--|--|
| 4|0|1|0|0| 0| 0| 1|
| 5|0|1|0|1| 1| 0| 0|
| 6|0|1|1|0| 0| 1| 0|
| 7|0|1|1|1| 1| 1| 0|
|--|-|-|-|-|--|--|--|
| 8|1|0|0|0| 0| 0| 1|
| 9|1|0|0|1| 0| 1| 0|
|10|1|0|1|0| 0| 0| 0|
|11|1|0|1|1| 1| 1| 0|
|--|-|-|-|-|--|--|--|
|12|1|1|0|0| 1| 0| 1|
|13|1|1|0|1| 1| 1| 0|
|14|1|1|1|0| 1| 1| 0|
|15|1|1|1|1| 1| 1| 0|
|--|-|-|-|-|--|--|--|
